제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,2014-06-30,7:30:00,2014-06-30,9:00:00,FALSE,FALSE,2014-06-30,7:15 AM,이지황,,,,,,,"[한식]
건새우시금치된장국
삼곡밥
떡갈비가래떡조림(돼지:국내산)
열무김치
726kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*토스트식빵/딸기잼*버터
그린샐러드*유자레몬D
우유
스크램블에그
해쉬브라운

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2014-06-30,11:30:00,2014-06-30,13:00:00,FALSE,FALSE,2014-06-30,11:15 AM,이지황,,,,,,,"[한식]
제육김치두루치기*두부찜
(돼지:국내산)
보리밥
북어감자국
완자어묵새송이볶음(갈치:수입산)
치커리유자청무침
포기김치/석박지
980kcal

[일품]
장조림버터비빔밥
(돼지:국내산)
맑은우동국물
매콤볼만두
오이양파간장절임
포기김치/석박지
1010kcal



[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
고구마찜/삶은계란
야채스틱/바나나/방울토마토
두유/참깨롤빵
532kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류
파인애플D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-06-30,17:30:00,2014-06-30,19:00:00,FALSE,FALSE,2014-06-30,5:15 PM,이지황,,,,,,,"[한식or일품]
가츠동[일본식돈까스덮밥]
(돼지:국내산)
미니메밀소바
고구마튀김*연근튀김
일식치자단무지,락교
포기김치

989kcal

[건강도시락]
그린샐러드*참치키드빈
통감자구이/메추리알
야채스틱/바나나/토마토
두유/현미후리가케주먹밥
522kcal

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-01,7:30:00,2014-07-01,9:00:00,FALSE,FALSE,2014-07-01,7:15 AM,이지황,,,,,,,"[한식]
김치콩나물국
삼곡밥
비엔나야채볶음
석박지
730kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*모닝빵/딸기잼*버터
그린샐러드*유자레몬D
우유
계란후라이
콘후레이크

[플러스메뉴]
누룽지/계란후라이",FALSE,2,중간,보통,
점심메뉴,2014-07-01,11:30:00,2014-07-01,13:00:00,FALSE,FALSE,2014-07-01,11:15 AM,이지황,,,,,,,"[한식]
뚝배기불고기버섯전골*떡만두사리
(소:호주산)
흑향미밥
야채계란말이
연근땅콩조림
오이사과흑초무침
포기김치/석박지
982kcal

[일품]
허브통살치킨까스*양념치킨소스
(닭:국내산)
검정깨밥/콘크림스프
블루베리와플/통감자구이*사워크림
무비트피클
포기김치/석박지
1016kcal



[건강도시락]
그린샐러드*올리브참치
단호박구이/메추리알
야채스틱/바나나/오렌지
두유/모닝빵
529kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
스위트콘,빈스
애플D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-01,17:30:00,2014-07-01,19:00:00,FALSE,FALSE,2014-07-01,5:15 PM,이지황,,,,,,,"[한식or일품]
뚝배기순대국*부추무침
(돼지:미국산,국내산)
쌀밥
해물잡채완자전
모듬야채스틱*쌈장
쥐어채무침(갈치:국내산)
석박지
976kcal

[건강도시락]
그린샐러드*오이두부
고구마찜/삶은계란
야채스틱/바나나/방울토마토
두유/장조림주먹밥(소:호주산)
519kcal

[플러스메뉴]
그린샐러드*스위트콘*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-02,7:30:00,2014-07-02,9:00:00,FALSE,FALSE,2014-07-02,7:15 AM,이지황,,,,,,,"[한식]
꼬맹이만두국(소:호주산)
삼곡밥
양배추진미채무침
포기김치
715kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*핫케익/딸기잼*버터
그린샐러드*유자레몬D
우유
스크램블에그
단호박범벅

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2014-07-02,11:30:00,2014-07-02,13:00:00,FALSE,FALSE,2014-07-02,11:15 AM,이지황,,,,,,,"[한식]
[철판]매운오삼불고기*콩나물파채
(돼지:독일산)
차조밥
얼갈이된장국
두부계란지짐*양념장
깐마늘마늘쫑양념무침
포기김치/석박지
996kcal

[일품]
빠네로제스파게티
스파클링오렌지쥬스
치킨텐더샐러드(닭:국내산)
생오이피클*할라페뇨
포기김치/석박지
1019kcal

[네이쳐데이]
뿌리채소영양밥*부추양념장
얼갈이된장국
옥수수애호박찹쌀전
연두부샐러드/파래김구이
포기김치/석박지
653kcal

[건강도시락]
그린샐러드*흑임자두부
통감자구이/삶은계란
야채스틱/바나나/오렌지
두유/떡갈비주먹밥(돼지:국내산)
520kcal

[플러스메뉴]

현미밥/볶음고추장(소:호주산)
과일화채
",FALSE,2,중간,보통,
저녁메뉴,2014-07-02,17:30:00,2014-07-02,19:00:00,FALSE,FALSE,2014-07-02,5:15 PM,이지황,,,,,,,"[한식or일품]
[즉석]냄비닭칼국수
(닭:국내산)
미니열무비빔밥
수제고추튀김*오미산적
무말랭이깻잎무침
배추겉절이김치

983kcal

[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
단호박구이/메추리알
야채스틱/바나나/토마토
두유/부시맥브레드
525kcal

[플러스메뉴]
그린샐러드*콘후레이크*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-03,7:30:00,2014-07-03,9:00:00,FALSE,FALSE,2014-07-03,7:15 AM,이지황,,,,,,,"[한식]
무채어묵국(갈치:수입산)
삼곡밥
호박맛살볶음
포기김치
728kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*유자레몬D
우유
계란후라이
감자볼튀김

[플러스메뉴]
누룽지/계란후라이",FALSE,2,중간,보통,
점심메뉴,2014-07-03,11:30:00,2014-07-03,13:00:00,FALSE,FALSE,2014-07-03,11:15 AM,이지황,,,,,,,"[한식]
[철판]뼈없는닭갈비*고구마사리
(닭:브라질산)
수수밥
들깨미역국
녹두빈대떡*양파간장절임
청포묵오미자샐러드
포기김치/석박지
991kcal

[일품]
[부산밀면]시원한 사누끼밀면
충무김밥*충무식오징어무침
고기손만두찜
오복채무침
포기김치/석박지
1003kcal



[건강도시락]
그린샐러드*견과류올린구운야채
고구마찜/메추리알
야채스틱/바나나/방울토마토
두유/현미후리가케주먹밥
515kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
크루통
유자레몬D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-03,17:30:00,2014-07-03,19:00:00,FALSE,FALSE,2014-07-03,5:15 PM,이지황,,,,,,,"[한식or일품]
육개장
(소:호주산,국내산(육우))
쌀밥
야채계란찜
감자채당근볶음
쑥갓양파무침
포기김치
975kcal

[건강도시락]
그린샐러드*올리브참치
통감자구이/삶은계란
야채스틱/바나나/오렌지
두유/참깨롤빵
528kcal

[플러스메뉴]
그린샐러드*크루통*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-04,7:30:00,2014-07-04,9:00:00,FALSE,FALSE,2014-07-04,7:15 AM,이지황,,,,,,,"[한식]
장터국(소:호주산)
삼곡밥
따뜻한연두부*절임고추간장s
포기김치
744kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*참깨롤빵/딸기잼*버터
그린샐러드*유자레몬D
우유
스크램블에그
초코첵스

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2014-07-04,11:30:00,2014-07-04,13:00:00,FALSE,FALSE,2014-07-04,11:15 AM,이지황,,,,,,,"[한식]
흑마늘훈제삼겹보쌈*두부찜
(돼지:미국산)
기장밥
근대국
모듬쌈채소*견과류쌈장
청양풍잡채
포기김치/석박지
979kcal

[일품]
파인애플함박스테이크*데미s
(돼지:국내산)
야채볶음밥/맑은우동국물
칠리치즈후라이
시나몬토스트/야채피클
포기김치/석박지
1008kcal



[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
단호박구이/삶은계란
야채스틱/바나나/토마토
두유/부시맥브레드
530kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류
흑임자D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-04,17:30:00,2014-07-04,19:00:00,FALSE,FALSE,2014-07-04,5:15 PM,이지황,,,,,,,"[한식or일품]
뚝배기버섯된장찌개
흑향미밥
조기구이
이색묵*양념장
콩나물무침
포기김치
977kcal

[건강도시락]
그린샐러드*꽃맛살
고구마찜/메추리알
야채스틱/바나나/방울토마토
두유/떡갈비주먹밥(돼지:국내산)
526kcal

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
